City_ID,City,Country,Date,Humidity,Lat,Lng,Max Temp,Cloudiness,Wind Speed
112,Busselton,AU,2021-09-16 00:22:37,79,-33.65,115.3333,50.09,72,21.65
113,Prabumulih,ID,2021-09-16 00:22:40,95,-3.45,104.25,74.07,65,2.46
114,Sisimiut,GL,2021-09-16 00:22:40,64,66.9395,-53.6735,35.49,36,7.36
115,Hithadhoo,MV,2021-09-16 00:22:41,75,-0.6,73.0833,82.0,68,11.34
116,Biggar,GB,2021-09-16 00:18:39,95,55.6167,-3.5167,56.08,97,4.56
117,Pimentel,PE,2021-09-16 00:22:41,85,-6.8367,-79.9342,62.92,50,17.94
118,Baykit,RU,2021-09-16 00:22:42,92,61.67,96.37,31.95,36,1.34
119,Liverpool,GB,2021-09-16 00:19:06,82,53.4106,-2.9779,61.29,0,3.44
120,Leningradskiy,RU,2021-09-16 00:22:42,92,69.3833,178.4167,29.61,100,1.88
121,Geraldton,AU,2021-09-16 00:22:43,59,-28.7667,114.6,63.01,90,16.11
122,Sao Jose Da Coroa Grande,BR,2021-09-16 00:22:44,79,-8.8978,-35.1478,76.95,72,9.04
123,Lata,PT,2021-09-16 00:22:44,97,40.1629,-8.3327,66.81,22,1.36
124,Maltahohe,NA,2021-09-16 00:22:44,21,-24.8333,16.9833,50.83,0,3.83
125,Sicuani,PE,2021-09-16 00:22:45,48,-14.2694,-71.2261,56.26,100,6.11
126,Mayumba,GA,2021-09-16 00:22:45,89,-3.432,10.6554,75.49,91,6.42
127,Yellowknife,CA,2021-09-16 00:21:21,66,62.456,-114.3525,48.72,75,21.85
128,Constitucion,CL,2021-09-16 00:22:46,84,-35.3333,-72.4167,51.24,0,12.12
129,Isla Vista,US,2021-09-16 00:22:46,71,34.4133,-119.861,82.67,1,4.0
130,Pevek,RU,2021-09-16 00:22:24,69,69.7008,170.3133,30.78,100,11.79
131,Dikson,RU,2021-09-16 00:22:47,97,73.5069,80.5464,37.35,100,25.95
132,Punta Arenas,CL,2021-09-16 00:22:47,64,-53.15,-70.9167,33.91,75,8.05
133,Saldanha,ZA,2021-09-16 00:22:48,82,-33.0117,17.9442,50.05,0,18.59
134,Nusfalau,RO,2021-09-16 00:22:48,60,47.2,22.7333,60.69,59,5.41
135,Angoram,PG,2021-09-16 00:22:49,86,-4.0625,144.0661,80.73,99,3.24
136,Tshikapa,CD,2021-09-16 00:22:49,77,-6.4167,20.8,74.84,100,2.55
137,Port Lincoln,AU,2021-09-16 00:22:50,67,-34.7333,135.8667,60.13,0,19.06
138,Atikokan,CA,2021-09-16 00:22:50,57,48.7555,-91.6216,59.81,100,5.59
139,Pangai,TO,2021-09-16 00:22:50,74,-19.8,-174.35,82.51,40,12.66
140,Dunmore Town,BS,2021-09-16 00:22:51,67,25.5,-76.65,82.9,8,3.87
141,Katherine,AU,2021-09-16 00:22:52,61,-14.4667,132.2667,84.52,77,5.75
142,Salalah,OM,2021-09-16 00:18:28,83,17.0151,54.0924,82.49,75,2.3
143,Kaitangata,NZ,2021-09-16 00:22:52,88,-46.2817,169.8464,44.35,78,4.34
144,Coihaique,CL,2021-09-16 00:22:53,71,-45.5752,-72.0662,48.15,75,2.3
145,Mount Gambier,AU,2021-09-16 00:22:53,60,-37.8333,140.7667,53.24,20,6.96
146,Elda,ES,2021-09-16 00:22:53,76,38.4778,-0.7916,70.3,36,1.21
147,Nanortalik,GL,2021-09-16 00:21:18,76,60.1432,-45.2371,39.06,1,5.21
148,Solvychegodsk,RU,2021-09-16 00:22:54,91,61.3305,46.9156,41.99,100,8.66
149,Manokwari,ID,2021-09-16 00:22:55,75,-0.8667,134.0833,80.46,98,2.57
150,Hasaki,JP,2021-09-16 00:22:55,73,35.7333,140.8333,75.6,22,18.28
151,Tuktoyaktuk,CA,2021-09-16 00:22:55,76,69.4541,-133.0374,50.0,75,8.05
152,Qasigiannguit,GL,2021-09-16 00:22:56,90,68.8193,-51.1922,32.25,92,3.2
153,Faanui,PF,2021-09-16 00:22:56,70,-16.4833,-151.75,79.25,5,17.87
154,Businga,CD,2021-09-16 00:22:57,98,3.3333,20.8833,71.89,60,2.19
155,Parakou,BJ,2021-09-16 00:22:57,94,9.3372,2.6303,71.83,57,3.33
156,Kondoa,TZ,2021-09-16 00:22:58,84,-4.9,35.7833,58.6,25,5.61
157,Saint-Philippe,RE,2021-09-16 00:18:28,81,-21.3585,55.7679,69.39,40,7.14
158,Beira,MZ,2021-09-16 00:22:58,100,-19.8436,34.8389,69.89,40,3.44
159,Kruisfontein,ZA,2021-09-16 00:22:59,82,-34.0033,24.7314,51.89,3,7.4
160,Tocopilla,CL,2021-09-16 00:22:59,69,-22.092,-70.1979,61.86,24,9.69
161,San Cristobal,VE,2021-09-16 00:22:59,87,7.7669,-72.225,77.18,55,2.93
162,Marienburg,PL,2021-09-16 00:23:00,76,54.0359,19.0266,61.88,99,8.95
163,Santona,ES,2021-09-16 00:23:00,91,43.4439,-3.4576,67.91,76,5.77
164,Norman Wells,CA,2021-09-16 00:23:01,62,65.282,-126.8329,55.44,75,6.91
165,Anori,BR,2021-09-16 00:23:01,63,-3.7728,-61.6442,80.58,64,2.75
166,Kirakira,SB,2021-09-16 00:23:01,69,-10.4544,161.9205,84.27,92,9.48
167,East London,ZA,2021-09-16 00:20:00,65,-33.0153,27.9116,59.77,96,13.24
168,Opuwo,NA,2021-09-16 00:23:02,29,-18.0607,13.84,65.14,1,4.21
169,Sur,OM,2021-09-16 00:23:02,44,22.5667,59.5289,86.76,98,5.99
170,Kjopsvik,NO,2021-09-16 00:23:03,75,68.097,16.3742,43.05,40,8.32
171,Padang,ID,2021-09-16 00:20:45,83,-0.9492,100.3543,75.25,40,3.2
172,Oga,IT,2021-09-16 00:23:03,98,46.4631,10.347,55.63,96,3.53
173,Alice Springs,AU,2021-09-16 00:21:28,16,-23.7,133.8833,85.55,14,9.22
174,Mineiros,BR,2021-09-16 00:20:35,28,-17.5694,-52.5511,83.93,95,4.03
175,Tyrma,RU,2021-09-16 00:23:04,75,50.0833,132.1667,56.03,100,3.29
176,Hamilton,US,2021-09-16 00:20:25,80,39.1834,-84.5333,73.36,40,4.61
177,Yola,NG,2021-09-16 00:23:05,89,9.2,12.4833,75.4,28,2.86
178,Chokurdakh,RU,2021-09-16 00:23:05,65,70.6333,147.9167,33.85,63,7.96
179,Nabire,ID,2021-09-16 00:23:05,89,-3.3667,135.4833,77.59,99,3.53
180,Wolow,PL,2021-09-16 00:23:06,76,51.3366,16.6443,66.04,100,2.57
181,Port-Cartier,CA,2021-09-16 00:23:06,97,50.0334,-66.8654,52.02,100,2.59
182,Mezen,RU,2021-09-16 00:23:07,93,65.8522,44.24,36.18,56,4.68
183,Gracac,HR,2021-09-16 00:23:07,55,44.3006,15.8547,67.39,97,3.94
184,Levin,NZ,2021-09-16 00:23:07,69,-40.6333,175.275,51.49,100,10.0
185,Atar,MR,2021-09-16 00:23:08,21,20.5169,-13.0499,94.41,16,13.13
186,Mae Sai,TH,2021-09-16 00:23:08,98,20.4335,99.8762,72.72,95,1.25
187,Lorengau,PG,2021-09-16 00:23:09,87,-2.0226,147.2712,77.63,100,16.13
188,Lokosovo,RU,2021-09-16 00:21:21,97,61.1333,74.8167,43.74,100,14.9
189,Camargo,MX,2021-09-16 00:23:09,20,27.6667,-105.1667,89.37,35,8.93
190,Cabedelo,BR,2021-09-16 00:23:10,82,-6.9811,-34.8339,77.67,27,12.15
191,Dudinka,RU,2021-09-16 00:23:10,97,69.4058,86.1778,39.24,100,6.8
192,Mahibadhoo,MV,2021-09-16 00:23:11,65,3.7833,72.9667,82.74,100,13.47
193,Santa Fe,AR,2021-09-16 00:21:38,77,-31.6333,-60.7,59.76,0,5.1
194,Ambilobe,MG,2021-09-16 00:23:11,77,-13.2,49.05,68.0,29,3.87
195,Sao Filipe,CV,2021-09-16 00:23:12,82,14.8961,-24.4956,80.55,93,9.19
196,Esperance,AU,2021-09-16 00:23:12,71,-33.8667,121.9,60.48,57,23.51
197,Pangnirtung,CA,2021-09-16 00:23:13,70,66.1451,-65.7125,35.08,100,1.99
198,Haines Junction,CA,2021-09-16 00:23:13,40,60.7522,-137.5108,53.55,97,8.05
199,Ilulissat,GL,2021-09-16 00:23:14,55,69.2167,-51.1,32.02,20,16.11
