City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
140,Upernavik,GL,28.0,broken clouds,72.7868,-56.1549,Gina's Guesthouse - Upernavik
141,Amuntai,ID,72.68,overcast clouds,-2.4177,115.2494,Hotel Balqis
142,Ahipara,NZ,56.43,broken clouds,-35.1667,173.1667,Ahipara Holiday Park
143,Kununurra,AU,78.78,few clouds,-15.7667,128.7333,Hotel Kununurra
144,Qaanaaq,GL,22.57,overcast clouds,77.484,-69.3632,Qaanaaq Hotel
145,Alyangula,AU,62.47,clear sky,-13.8483,136.4192,Groote Eylandt Lodge
146,Kardailovo,RU,54.46,overcast clouds,51.5386,53.9042,
147,Zhanaozen,KZ,81.32,clear sky,43.3,52.8,K.korabay 28A
148,Gambela,ET,73.51,light rain,8.25,34.5833,Solomon Debebe Hotel
149,Kavaratti,IN,81.77,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
150,Grand Gaube,MU,72.0,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
151,Lethem,GY,96.51,clear sky,3.3803,-59.7968,Savannah Inn
152,Avarua,CK,75.25,few clouds,-21.2078,-159.775,Paradise Inn
153,Nsanje,MW,89.42,scattered clouds,-16.92,35.262,Nsanje Discovery Lodge
154,Soyo,AO,80.65,broken clouds,-6.1349,12.3689,Hotel Mpampa
155,Chunoyar,RU,39.2,overcast clouds,57.4467,97.3217,
156,Srednekolymsk,RU,37.09,overcast clouds,67.45,153.6833,
157,Kalemie,CD,76.59,scattered clouds,-5.9475,29.1947,Mahobilali
158,Sao Filipe,CV,80.87,overcast clouds,14.8961,-24.4956,Hotel Xaguate
159,Marsa Matruh,EG,78.17,clear sky,31.3525,27.2453,Beau Site
160,Bambous Virieux,MU,71.85,light rain,-20.3428,57.7575,Casa Tia Villa
161,Gunjur,GM,82.47,broken clouds,13.2019,-16.7339,Kuba Lodge
162,Pemba,MZ,79.5,broken clouds,-12.974,40.5178,Guesthouse Samotina
163,Bembereke,BJ,79.36,overcast clouds,10.2283,2.6634,Hotel Bio Guera
164,Fortuna,US,53.98,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
165,New Norfolk,AU,44.91,broken clouds,-42.7826,147.0587,The Shingles Riverside Cottages
166,Saraland,US,87.31,broken clouds,30.8207,-88.0706,Microtel Inn & Suites by Wyndham Saraland/North Mobile
167,Sault Sainte Marie,CA,71.89,clear sky,46.5168,-84.3333,Comfort Inn
168,East London,ZA,59.94,light rain,-33.0153,27.9116,Tu Casa
169,Khatanga,RU,33.3,overcast clouds,71.9667,102.5,"Gostinitsa ""Zapolyar'ye"""
170,Praia Da Vitoria,PT,77.76,broken clouds,38.7333,-27.0667,Hotel Branco I
171,Yar-Sale,RU,39.09,overcast clouds,66.8333,70.8333,Yalemd
172,Chokurdakh,RU,34.93,overcast clouds,70.6333,147.9167,
173,Numan,NG,86.0,overcast clouds,9.4667,12.0333,Zangun Motel
174,Jiazi,CN,82.56,few clouds,22.8779,116.067,Hotel Jin Hao
175,Korla,CN,73.72,overcast clouds,41.7597,86.1469,Gulisitan Hotel
176,Lukovetskiy,RU,39.18,overcast clouds,64.2956,41.9211,Gostinitsa
177,Vao,NC,67.71,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
178,Kaseda,JP,78.76,broken clouds,31.4167,130.3167,Sun Stay Kaseda
179,Laguna,US,75.02,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
180,Mahebourg,MU,71.89,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
181,Saint-Philippe,RE,72.95,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
182,Cabo San Lucas,MX,91.51,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
183,Eyl,SO,78.39,scattered clouds,7.9803,49.8164,Amiin Hotel
184,San Patricio,US,86.41,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
185,North Branch,US,79.23,few clouds,45.5113,-92.9802,AmericInn by Wyndham North Branch
186,Tuktoyaktuk,CA,42.8,scattered clouds,69.4541,-133.0374,End of The Road Ltd.
187,Yazykovo,RU,43.2,overcast clouds,55.2199,56.1353,Children's camp
