City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,LightRain inches (last 24 hours),ClearSky inches (last 24 hours)
170,Praia Da Vitoria,PT,2021-09-16 16:49:23,38.7333,-27.0667,77.76,73,75,8.12,broken clouds,0,0
171,Yar-Sale,RU,2021-09-16 16:41:24,66.8333,70.8333,39.09,91,95,13.33,overcast clouds,0,0
172,Chokurdakh,RU,2021-09-16 16:49:24,70.6333,147.9167,34.93,91,88,7.74,overcast clouds,0,0
173,Numan,NG,2021-09-16 16:49:24,9.4667,12.0333,86.0,65,92,6.91,overcast clouds,0,0
174,Jiazi,CN,2021-09-16 16:49:24,22.8779,116.067,82.56,79,12,2.13,few clouds,0,0
175,Korla,CN,2021-09-16 16:45:02,41.7597,86.1469,73.72,30,96,2.08,overcast clouds,0,0
176,Lukovetskiy,RU,2021-09-16 16:49:25,64.2956,41.9211,39.18,89,100,3.44,overcast clouds,0,0
177,Vao,NC,2021-09-16 16:49:26,-22.6667,167.4833,67.71,72,2,14.9,clear sky,0,0
178,Kaseda,JP,2021-09-16 16:49:26,31.4167,130.3167,78.76,89,74,11.18,broken clouds,0,0
179,Laguna,US,2021-09-16 16:49:27,38.421,-121.4238,75.02,74,1,3.0,clear sky,0,0
180,Mahebourg,MU,2021-09-16 16:49:27,-20.4081,57.7,71.89,88,40,6.91,light rain,0,0
181,Saint-Philippe,RE,2021-09-16 16:49:27,-21.3585,55.7679,72.95,85,42,9.64,light rain,0,0
182,Cabo San Lucas,MX,2021-09-16 16:48:20,22.8909,-109.9124,91.51,66,69,3.04,broken clouds,0,0
183,Eyl,SO,2021-09-16 16:49:28,7.9803,49.8164,78.39,83,31,20.96,scattered clouds,0,0
184,San Patricio,US,2021-09-16 16:49:28,28.017,-97.5169,86.41,55,86,8.01,overcast clouds,0,0
185,North Branch,US,2021-09-16 16:49:29,45.5113,-92.9802,79.23,63,15,17.18,few clouds,0,0
186,Tuktoyaktuk,CA,2021-09-16 16:49:29,69.4541,-133.0374,42.8,100,40,2.3,scattered clouds,0,0
187,Yazykovo,RU,2021-09-16 16:49:30,55.2199,56.1353,43.2,65,89,14.99,overcast clouds,0,0
188,Aklavik,CA,2021-09-16 16:49:30,68.2191,-135.0107,41.83,100,90,0.0,fog,0,0
189,Kulary,RU,2021-09-16 16:49:30,43.2397,45.5042,73.35,37,68,8.01,broken clouds,0,0
190,Anadyr,RU,2021-09-16 16:49:31,64.75,177.4833,36.1,93,75,11.18,light rain,0,0
191,Dwarka,IN,2021-09-16 16:49:31,22.2394,68.9678,81.95,89,100,13.09,overcast clouds,0,0
192,San Angelo,US,2021-09-16 16:44:38,31.4638,-100.437,85.64,57,1,5.01,clear sky,0,0
193,Shimoda,JP,2021-09-16 16:49:32,34.6667,138.95,71.62,85,97,11.95,overcast clouds,0,0
194,Mehtar Lam,AF,2021-09-16 16:49:32,34.6714,70.2094,82.65,16,0,1.01,clear sky,0,0
195,Lesozavodsk,RU,2021-09-16 16:49:33,45.4794,133.4244,54.45,96,96,4.41,overcast clouds,0,0
196,Rundu,NA,2021-09-16 16:49:33,-17.9333,19.7667,82.24,10,41,3.49,scattered clouds,0,0
197,Blackwater,AU,2021-09-16 16:43:32,-23.5833,148.8833,57.9,83,0,7.72,clear sky,0,0
198,Yulara,AU,2021-09-16 16:49:34,-25.2406,130.9889,82.24,30,75,12.66,broken clouds,0,0
199,Nanortalik,GL,2021-09-16 16:49:34,60.1432,-45.2371,37.53,78,100,2.86,overcast clouds,0,0
200,Nuuk,GL,2021-09-16 16:49:35,64.1835,-51.7216,38.01,56,75,9.22,broken clouds,0,0
201,Borovskoy,KZ,2021-09-16 16:49:35,53.8,64.15,45.79,53,19,7.94,few clouds,0,0
202,Jutai,BR,2021-09-16 16:49:36,-5.1833,-68.9,97.47,37,32,2.01,scattered clouds,0,0
203,Samarai,PG,2021-09-16 16:49:36,-10.6167,150.6667,77.23,77,89,19.3,overcast clouds,0,0
204,Ishigaki,JP,2021-09-16 16:49:36,24.3448,124.1572,82.51,80,9,12.12,clear sky,0,0
205,Hobyo,SO,2021-09-16 16:49:37,5.3505,48.5268,78.28,86,21,23.91,few clouds,0,0
206,Castro,BR,2021-09-16 16:49:37,-24.7911,-50.0119,59.34,92,100,6.62,overcast clouds,0,0
207,Tateyama,JP,2021-09-16 16:41:48,34.9833,139.8667,69.82,82,81,9.28,broken clouds,0,0
208,Hibbing,US,2021-09-16 16:49:38,47.4272,-92.9377,71.06,64,1,9.22,clear sky,0,0
209,Plettenberg Bay,ZA,2021-09-16 16:49:38,-34.0527,23.3716,52.92,77,48,8.43,scattered clouds,0,0
210,Thaba Nchu,ZA,2021-09-16 16:49:39,-29.2093,26.839,58.78,44,3,16.46,clear sky,0,0
211,Tiksi,RU,2021-09-16 16:49:39,71.6872,128.8694,41.31,80,100,4.85,overcast clouds,0,0
212,Ucluelet,CA,2021-09-16 16:48:49,48.9329,-125.5528,52.11,67,42,6.64,scattered clouds,0,0
213,Bikaner,IN,2021-09-16 16:49:40,28.0167,73.3,92.07,45,4,9.71,clear sky,0,0
214,Loralai,PK,2021-09-16 16:49:40,30.3705,68.598,80.67,33,0,6.31,clear sky,0,0
215,Conde,BR,2021-09-16 16:49:41,-7.2597,-34.9075,85.46,62,40,18.41,scattered clouds,0,0
216,Dondo,MZ,2021-09-16 16:49:41,-19.6094,34.7431,76.51,83,10,9.13,clear sky,0,0
217,Shenjiamen,CN,2021-09-16 16:42:52,29.9576,122.298,75.24,80,94,17.11,overcast clouds,0,0
218,Tazovskiy,RU,2021-09-16 16:49:42,67.4667,78.7,38.95,90,96,8.79,overcast clouds,0,0
219,Ust-Kuyga,RU,2021-09-16 16:43:19,70.0167,135.6,43.02,84,100,6.55,light rain,0,0
220,Bentiu,SS,2021-09-16 16:49:42,9.2333,29.8333,76.26,85,57,2.44,light rain,0,0
221,Ouadda,CF,2021-09-16 16:49:43,8.0777,22.4007,71.6,93,94,4.99,light rain,0,0
222,Coupar Angus,GB,2021-09-16 16:49:43,56.5455,-3.2677,66.33,69,20,1.01,few clouds,0,0
223,Presidencia Roque Saenz Pena,AR,2021-09-16 16:49:43,-26.7852,-60.4388,68.95,35,84,4.16,broken clouds,0,0
224,Morristown,US,2021-09-16 16:41:17,36.214,-83.2949,81.75,61,40,4.61,scattered clouds,0,0
225,Jacareacanga,BR,2021-09-16 16:49:44,-6.2222,-57.7528,101.01,28,11,3.31,few clouds,0,0
226,Namibe,AO,2021-09-16 16:49:44,-15.1961,12.1522,63.99,84,9,6.26,clear sky,0,0
227,Muisne,EC,2021-09-16 16:44:03,0.6,-80.0333,82.51,83,93,9.82,overcast clouds,0,0
228,Strezhevoy,RU,2021-09-16 16:40:35,60.7333,77.5889,51.78,98,100,7.7,overcast clouds,0,0
229,Cayenne,GF,2021-09-16 16:49:45,4.9333,-52.3333,91.44,74,20,5.99,few clouds,0,0
230,Jiwani,PK,2021-09-16 16:49:45,25.05,61.7417,82.15,81,2,7.76,clear sky,0,0
231,Okhotsk,RU,2021-09-16 16:49:46,59.3833,143.3,49.35,90,96,12.53,overcast clouds,0,0
232,Kurilsk,RU,2021-09-16 16:49:47,45.2333,147.8833,49.51,85,98,7.05,overcast clouds,0,0
233,Caceres,ES,2021-09-16 16:49:47,39.522,-6.3748,82.8,38,0,3.53,clear sky,0,0
234,Cairns,AU,2021-09-16 16:40:29,-16.9167,145.7667,64.35,82,55,6.91,broken clouds,0,0
235,Necochea,AR,2021-09-16 16:49:47,-38.5473,-58.7368,66.34,46,0,9.46,clear sky,0,0
236,Acari,PE,2021-09-16 16:49:48,-15.4311,-74.6158,73.06,53,55,9.28,broken clouds,0,0
237,Berlevag,NO,2021-09-16 16:49:48,70.8578,29.0864,41.0,75,0,4.61,clear sky,0,0
238,Leningradskiy,RU,2021-09-16 16:49:49,69.3833,178.4167,22.48,86,81,8.19,broken clouds,0,0
239,Bati,ET,2021-09-16 16:49:49,11.1833,40.0167,74.17,42,89,5.14,overcast clouds,0,0
240,Bela Vista,BR,2021-09-16 16:49:50,-22.1089,-56.5211,95.02,35,67,4.34,broken clouds,0,0
241,San Felipe,VE,2021-09-16 16:42:04,10.3399,-68.7425,94.01,38,51,4.94,broken clouds,0,0
